,Rk,Player,Type,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,PlayerID,Name
20,11,Ryan Anderson\anderry01,Projected,0.0023148148148148147,0.00550925925925926,0.0013425925925925925,0.003425925925925926,0.000925925925925926,0.0011111111111111111,0.000925925925925926,0.0030092592592592593,0.0006018518518518519,0.0002777777777777778,0.0001851851851851852,0.000462962962962963,0.0011574074074074073,0.006898148148148148,0.425,0.388,0.818,anderry01,Ryan Anderson
22,12,Ike Anigbogu\anigbik01,Projected,0.0027314814814814814,0.005787037037037037,0.0006481481481481481,0.0016666666666666668,0.0014351851851851852,0.0018055555555555555,0.0010185185185185186,0.003425925925925926,0.001388888888888889,0.0005555555555555556,0.0005555555555555556,0.0009722222222222223,0.0012037037037037038,0.007546296296296297,0.474,0.377,0.797,anigbik01,Ike Anigbogu
24,13,Giannis Antetokounmpo\antetgi01,Projected,0.004166666666666667,0.007824074074074074,0.0002777777777777778,0.000925925925925926,0.002777777777777778,0.003611111111111111,0.0008796296296296296,0.004351851851851852,0.0022685185185185187,0.0006944444444444445,0.0006944444444444445,0.0012962962962962963,0.001388888888888889,0.011342592592592593,0.531,0.303,0.766,antetgi01,Giannis Antetokounmpo
26,14,Carmelo Anthony\anthoca01,Projected,0.0033796296296296296,0.008194444444444443,0.0010185185185185186,0.002916666666666667,0.001388888888888889,0.0017592592592592592,0.000462962962962963,0.0030092592592592593,0.0010185185185185186,0.0003703703703703704,0.0002777777777777778,0.0008333333333333334,0.0012962962962962963,0.009166666666666667,0.412,0.351,0.799,anthoca01,Carmelo Anthony
28,15,OG Anunoby\anunoog01,Projected,0.001990740740740741,0.004074074074074075,0.0008333333333333334,0.002175925925925926,0.0005092592592592593,0.000787037037037037,0.0005092592592592593,0.0022222222222222222,0.0007407407407407408,0.0006018518518518519,0.0001851851851851852,0.0005555555555555556,0.0014351851851851852,0.005324074074074074,0.484,0.383,0.669,anunoog01,OG Anunoby
30,16,Ryan Arcidiacono\arcidry01,Projected,0.001574074074074074,0.003564814814814815,0.0006018518518518519,0.0018055555555555555,0.0006018518518518519,0.0007407407407407408,0.0002777777777777778,0.001990740740740741,0.001851851851851852,0.0006481481481481481,0.0001388888888888889,0.000787037037037037,0.0011111111111111111,0.004351851851851852,0.449,0.326,0.791,arcidry01,Ryan Arcidiacono
32,17,Trevor Ariza\arizatr01,Projected,0.001990740740740741,0.004861111111111111,0.0011574074074074073,0.0032870370370370367,0.0006018518518518519,0.0007407407407407408,0.0002777777777777778,0.002361111111111111,0.000925925925925926,0.000787037037037037,0.0001388888888888889,0.000462962962962963,0.000925925925925926,0.005740740740740741,0.408,0.355,0.797,arizatr01,Trevor Ariza
34,18,D.J. Augustin\augusdj01,Projected,0.0022685185185185187,0.005277777777777778,0.0010185185185185186,0.002638888888888889,0.0014814814814814816,0.0017592592592592592,0.0002777777777777778,0.0015277777777777776,0.0025462962962962965,0.000462962962962963,4.62962962962963e-05,0.0011111111111111111,0.0010185185185185186,0.007037037037037037,0.426,0.391,0.843,augusdj01,D.J. Augustin
36,19,Dwayne Bacon\bacondw01,Projected,0.001898148148148148,0.004722222222222222,0.0003703703703703704,0.0012037037037037038,0.0006018518518518519,0.000787037037037037,0.0001851851851851852,0.0029629629629629632,0.0010648148148148147,0.0004166666666666667,9.25925925925926e-05,0.0006018518518518519,0.0011111111111111111,0.004814814814814815,0.405,0.299,0.793,bacondw01,Dwayne Bacon
38,20,Wade Baldwin\baldwwa01,Projected,0.0022222222222222222,0.005092592592592593,0.000462962962962963,0.0012962962962962963,0.0012962962962962963,0.0016666666666666668,0.0005092592592592593,0.0023148148148148147,0.0019444444444444446,0.0006018518518518519,0.0002777777777777778,0.0012037037037037038,0.0016666666666666668,0.00625,0.441,0.363,0.768,baldwwa01,Wade Baldwin
40,21,Lonzo Ball\balllo01,Projected,0.0020370370370370373,0.005277777777777778,0.0008796296296296296,0.002685185185185185,0.0003703703703703704,0.0007407407407407408,0.0006481481481481481,0.003425925925925926,0.003472222222222222,0.0008333333333333334,0.0004166666666666667,0.0012037037037037038,0.0011111111111111111,0.005277777777777778,0.383,0.321,0.52,balllo01,Lonzo Ball
42,22,Harrison Barnes\barneha02,Projected,0.0033796296296296296,0.007361111111111112,0.0006481481481481481,0.0018055555555555555,0.0015277777777777776,0.0018055555555555555,0.0005092592592592593,0.002777777777777778,0.000925925925925926,0.00032407407407407406,9.25925925925926e-05,0.0006944444444444445,0.0006944444444444445,0.008935185185185185,0.458,0.361,0.834,barneha02,Harrison Barnes
44,23,Will Barton\bartowi01,Projected,0.0028703703703703703,0.006435185185185185,0.000925925925925926,0.0025,0.0012037037037037038,0.0015277777777777776,0.000462962962962963,0.002638888888888889,0.001990740740740741,0.0005092592592592593,0.00032407407407407406,0.000925925925925926,0.0010648148148148147,0.007916666666666667,0.448,0.367,0.791,bartowi01,Will Barton
46,24,Nicolas Batum\batumni01,Projected,0.0024074074074074076,0.005787037037037037,0.0008333333333333334,0.0024074074074074076,0.0011574074074074073,0.001388888888888889,0.0004166666666666667,0.002777777777777778,0.002824074074074074,0.0005555555555555556,0.0001851851851851852,0.0011574074074074073,0.0006944444444444445,0.006759259259259259,0.412,0.336,0.84,batumni01,Nicolas Batum
48,25,Aron Baynes\baynear01,Projected,0.0023148148148148147,0.004861111111111111,4.62962962962963e-05,0.0002777777777777778,0.0008796296296296296,0.0011574074074074073,0.0014814814814814816,0.004722222222222222,0.000925925925925926,0.0002777777777777778,0.0005555555555555556,0.0008796296296296296,0.0022222222222222222,0.005601851851851852,0.477,0.244,0.78,baynear01,Aron Baynes
